description,organism
afaA afimbrial adhesin subunit (E. coli),E. coli
afaB-I afimbrial adhesin chaperone protein (E. coli),E. coli
afaC-I afimbrial adhesin usher protein (E. coli),E. coli
afaE-V afimbrial adhesin (E. coli),E. coli
aslA putative arylsulfatase (E. coli),E. coli
astA heat-stable enterotoxin (E. coli),E. coli
chuA outer membrane heme/hemoglobin receptor (E. coli),E. coli
chuS heme oxygenase (E. coli),E. coli
chuT periplasmic heme-binding protein (E. coli),E. coli
chuW putative oxygen-independent coproporphyrinogen III oxidase (E. coli),E. coli
chuX putative heme-binding protein (E. coli),E. coli
chuY heme-binding associated protein (E. coli),E. coli
daaC fimbrial adhesin usher protein (E. coli),E. coli
daaF fimbrial adhesin usher protein (E. coli),E. coli
draA adhesin cytoplasmic protein (E. coli),E. coli
draB adhesin chaperone protein (E. coli),E. coli
draC adhesin usher protein (E. coli),E. coli
draD adhesin periplasmic usher protein (E. coli),E. coli
draP adhesin protein (E. coli),E. coli
eltA heat-labile enterotoxin A (E. coli),E. coli
eltB heat-labile enterotoxin B (E. coli),E. coli
entD component of enterobactin synthase multienzyme complex (E. coli),E. coli
entE component of enterobactin synthase multienzyme complex (E. coli),E. coli
entS ion-regulated enterobactin exporter (E. coli),E. coli
espL4 Type III secretion system effector (E. coli),E. coli
espR1 Type III secretion system effector espR1(E. coli),E. coli
espX4 Type III secretion system effector (E. coli),E. coli
espX5 Type III secretion system effector (E. coli),E. coli
espY1 Type III secretion system effector (E. coli),E. coli
espY3 Type III secretion system effector (E. coli),E. coli
faeD fimbrial usher protein (E. coli),E. coli
fepB ferrienterobactin ABC transporter periplasmic binding protein (E. coli),E. coli
fepC ferrienterobactin ABC transporter ATPase (E. coli),E. coli
fepD ferrienterobactin ABC transporter permease (E. coli),E. coli
gspC general secretion pathway protein C (Shigella dysenteriae),Shigella dysenteriae
gspD general secretion pathway protein D (Shigella dysenteriae),Shigella dysenteriae
gspG general secretion pathway protein G (Shigella dysenteriae),Shigella dysenteriae
gspH general secretion pathway protein H (Shigella dysenteriae),Shigella dysenteriae
gspI general secretion pathway protein I (Shigella dysenteriae),Shigella dysenteriae
gspJ general secretion pathway protein J (Shigella dysenteriae),Shigella dysenteriae
gspK general secretion pathway protein K (Shigella dysenteriae),Shigella dysenteriae
gtrA bactoprenol-linked glucose translocase/flippase (Shigella flexneri),Shigella flexneri
iucB aerobactin synthesis protein (Shigella flexneri),Shigella flexneri
iucC aerobactin siderophore biosynthesis protein (E. coli),E. coli
iucC aerobactin synthesis protein (Shigella flexneri),Shigella flexneri
iucD aerobactin synthesis protein (Shigella flexneri),Shigella flexneri
iutA ferric aerobactin receptor (Klebsiella pneumoniae),Klebsiella pneumoniae
kpsC capsule polysaccharide export protein (E. coli),E. coli
kpsD polysialic acid transport protein precursor (E. coli),E. coli
kpsE capsule polysaccharide export inner-membrane protein (E. coli),E. coli
kpsF polysialic acid capsule expression protein (E. coli),E. coli
kpsM polysialic acid transport protein (E. coli),E. coli
kpsS capsule polysaccharide export protein (E. coli),E. coli
kpsU capsule protein (E. coli),E. coli
papB regulatory pilus protein (E. coli),E. coli
papF P pilus minor subunit (E. coli),E. coli
papI regulatory pilus protein (E. coli),E. coli
sat aecreted auto transporter toxin (E. coli),E. coli
shuA outer membrane heme/hemoglobin receptor (Shigella dysenteriae),Shigella dysenteriae
vat Hemoglobin protease (E. coli),E. coli
yagV/ecpE common pilus chaperone (E. coli),E. coli
yagW/ecpD polymerized tip adhesin of ECP fibers protein (E. coli),E. coli
yagX/ecpC common pilus chaperone (E. coli),E. coli
yagY/ecpB common pilus chaperone (E. coli),E. coli
yagZ/ecpA common pilus structural subunit (E. coli),E. coli
ybtU yersiniabactin biosynthetic protein (Yersinia pestis),Yersinia pestis
ykgK/ecpR regulator protein (E. coli),E. coli
